# ALL Latin-script runs in body — 1643 distinct, 3608 occurrences
# count	first_line	term
83	74	Maersk
43	94	Scope
42	112	Energy Bank
36	74	CO
25	816	NRG
23	164	ECO
23	104	EU ETS
21	116	Dremio
21	780	Elixir
20	118	components
20	636	Shiptech
19	80	Emissions Workbench
19	94	ISCC
18	72	GHG
18	106	WTW
17	114	BoW
17	74	IMO
17	92	Kafka
17	599	PDF
17	1339	PostgreSQL
17	110	STAR Connect
16	114	BOPS
16	90	Bunker Optimization
16	90	Ocean Emissions
16	106	TTW
15	245	audit trail
15	76	CSRD
15	315	e
15	94	mass balance
15	116	Terraform
14	92	BEAM
14	98	ECOv2
14	1190	solver
14	96	XP
13	98	ECOv1
13	82	event sourcing
13	98	FFE
13	321	ISO
13	737	module
13	116	Nix
12	94	book-and-claim
12	311	GHG Protocol Scope
12	96	pair programming
12	891	POS
11	1339	Azure
11	90	ET Platform
11	98	GIA
11	118	monorepo
11	92	Oban
11	2094	pairing
11	94	trade factors
10	261	API
10	1628	CI
10	673	component
10	90	ECO Product Delivery
10	1536	Ecto
10	231	email
10	76	EU ETS Maritime
10	710	events
10	76	FuelEU Maritime
10	638	ODBC
10	92	Phoenix LiveView
10	311	Standard
9	211	CDP
9	118	Clean Architecture
9	98	ECO Delivery
9	1608	production
9	124	SBTi
9	199	Well-to-Wake
8	1779	CI/CD
8	957	EventStore
8	233	Excel
8	94	GHG Protocol
8	685	RoB
8	120	TDD
7	92	Commanded
7	493	ECO products
7	82	Extreme Programming
7	675	GenServer
7	1610	Kubernetes
7	1206	MBC
7	90	Net Zero
7	118	pipeline
7	1233	plan run
7	1614	pods
7	589	UI
7	1755	use cases
7	311	World Resources Institute
6	1059	Azure Blob Storage
6	1647	build
6	1202	C++
6	1620	code review
6	951	CQRS
6	441	ECO Delivery Ocean
6	114	Erlang Ports
6	184	EUA
6	311	GHGP
6	289	GIA audit
6	1603	HashiCorp Vault
6	858	LiveView
6	1215	MBC solver
6	858	pattern
6	430	RED II
6	675	server
6	467	Smart Freight Centre
6	303	Tank-to-Wake
6	96	vertical ownership
6	148	VLSFO
5	2513	Addison-Wesley Professional. ISBN
5	116	Apache Kafka
5	693	bunker plans
5	114	C++ solver
5	957	Command
5	549	data lake
5	941	ECO product
5	321	EN
5	1437	Erlang
5	862	event
5	951	Event Sourcing
5	311	GHG Protocol Corporate Standard
5	184	GT
5	337	Guidance
5	673	IMO number
5	426	ISCC System Document ISCC-203
5	2499	L
5	1271	logs
5	1653	Maersk Design System
5	597	Oban workers
5	1307	OpenTelemetry
5	1614	pod
5	955	projections
5	1354	staging
5	118	web layer
5	1121	worker
4	266	Account Managers
4	1685	agenix
4	845	backend
4	710	backpressure
4	1538	backups
4	2513	Beck
4	1223	BOPS API
4	213	Carbon Disclosure Project
4	188	CH
4	1592	cognitive load
4	959	CommandHandler
4	1616	contexts
4	579	Continuous Delivery
4	265	Contract Management
4	1616	credentials
4	607	Customer Baseline Emissions
4	118	deployment
4	1307	distributed tracing
4	1019	domain
4	231	Emissions Reporting
4	182	ETS
4	82	event-driven
4	1705	Events
4	510	Geneva
4	1645	GitHub Actions
4	903	GJ
4	321	GLEC Framework
4	638	legacy
4	1653	MDS
4	1659	metrics
4	92	migrations
4	1797	modules
4	837	observability
4	120	onboarding
4	1663	Phoenix
4	1439	Phoenix Framework
4	1612	replicas
4	461	SBTi Corporate Manual
4	2115	Scrum
4	1253	Server
4	1897	sessions
4	998	state
4	579	trunk-based development
4	313	UNFCCC
4	98	USD
4	1649	Vault
4	513	Version
4	607	vessel master data
