# ACRONYMS (define on first use) — 151 distinct
# count	first_line	term
36	74	CO
25	816	NRG
23	164	ECO
23	104	EU ETS
19	94	ISCC
18	72	GHG
18	106	WTW
17	74	IMO
17	599	PDF
16	114	BOPS
16	106	TTW
15	76	CSRD
14	92	BEAM
14	96	XP
13	98	FFE
13	321	ISO
12	891	POS
11	98	GIA
10	261	API
10	1628	CI
10	638	ODBC
9	211	CDP
8	120	TDD
7	1206	MBC
7	589	UI
6	1202	C++
6	951	CQRS
6	184	EUA
6	311	GHGP
6	430	RED II
6	148	VLSFO
5	321	EN
5	184	GT
5	2499	L
4	1223	BOPS API
4	188	CH
4	182	ETS
4	903	GJ
4	1653	MDS
4	313	UNFCCC
4	98	USD
4	400	WTT
3	1601	AKS
3	321	CEN EN
3	2471	DC
3	317	GWP
3	148	HFO
3	317	IPCC AR5
3	430	ISCC EU
3	76	MEPC
3	148	MGO
3	188	N
3	188	O
3	2071	PITR
3	2256	PR
3	439	SAF
3	311	WBCSD
3	311	WRI
2	209	A-E
2	1538	ACID
2	1247	BEAM VM
2	461	C
2	511	CEN
2	2519	D
2	1717	DAG
2	615	ECM
2	884	ECO1
2	885	ECO2
2	362	EEIO
2	80	ET
2	2022	ETW
2	94	GLEC
2	211	GRESB
2	1188	HSFO
2	1479	HTML
2	1223	HTTP
2	317	IPCC
2	2511	J
2	2513	K
2	378	LNG
2	1188	LSDIS
2	1925	RTO
2	1606	SAML SSO
2	1479	SPA
2	1584	SQL
2	136	TEU
2	407	TTW CO
2	1188	ULSFO
1	166	ABS
1	1622	AWS CDK
1	886	B50
1	1647	CD
1	1614	CDN
1	209	CII
1	2403	CRUD
1	2281	CSS
1	2275	DBA
1	1479	DOM
1	1901	DRY
1	1592	DSL
1	2517	E
1	615	EC2
1	615	EC3
1	615	EC4
1	615	EC5
1	887	ECO4
1	887	ECO5
1	889	ECX
1	481	EMS
1	213	ESG
1	178	ESRS
1	1584	ETL
1	2419	EU MRV
1	407	FAME
1	1580	FFI
1	615	FOSSIL
1	2529	G
1	1225	GSIS
1	1620	HCL
1	2437	ICAO
1	430	II
1	222	IMO CII
1	201	IMO MEPC
1	1580	JNI
1	1333	JSON
1	1443	JVM
1	2335	KT
1	2419	MARPOL
1	313	NF
1	176	NFRD
1	148	NO
1	1929	ORM
1	1441	OTP
1	1909	PIM
1	1793	REST API
1	455	RFNBO
1	2076	RPO
1	597	RSB
1	241	RTM
1	2521	S
1	1584	S3
1	313	SF
1	148	SO
1	2267	TLS
1	1029	UCO
1	2527	V
1	1439	VM
1	1655	W3C
1	1614	WAF
1	461	WWF
1	2003	YAML
