# TRANSLATABLE common nouns/phrases — 745 distinct
# count	first_line	term
20	118	components
15	245	audit trail
15	315	e
15	94	mass balance
14	1190	solver
13	82	event sourcing
13	737	module
12	94	book-and-claim
12	96	pair programming
11	118	monorepo
11	2094	pairing
11	94	trade factors
10	673	component
10	231	email
10	710	events
9	1608	production
7	118	pipeline
7	1233	plan run
7	1614	pods
7	1755	use cases
6	1647	build
6	1620	code review
6	858	pattern
6	675	server
6	96	vertical ownership
5	693	bunker plans
5	549	data lake
5	862	event
5	1271	logs
5	1614	pod
5	955	projections
5	1354	staging
5	118	web layer
5	1121	worker
4	1685	agenix
4	845	backend
4	710	backpressure
4	1538	backups
4	1592	cognitive load
4	1616	contexts
4	1616	credentials
4	118	deployment
4	1307	distributed tracing
4	1019	domain
4	82	event-driven
4	638	legacy
4	1659	metrics
4	92	migrations
4	1797	modules
4	837	observability
4	120	onboarding
4	1612	replicas
4	1897	sessions
4	998	state
4	579	trunk-based development
4	607	vessel master data
4	1121	workers
3	110	baseline
3	2421	cold ironing
3	1779	commit
3	710	consumers
3	472	container
3	72	container carriers
3	593	container move
3	96	continuous integration
3	2057	deploy
3	579	deployments
3	2237	deploys
3	2431	diesel
3	858	domain logic
3	341	downstream
3	917	expression trees
3	847	frontend
3	1605	gateway
3	138	logistics
3	1801	namespace
3	1573	partitions
3	1223	plan runs
3	1011	projection
3	82	real-time
3	532	refactoring
3	645	schema
3	1603	secrets
3	384	shipment
3	957	struct
3	814	surcharge
3	1647	test
3	1651	tests
3	74	th GHG Study
3	1573	topics
3	862	traceability
3	1659	traces
3	693	voyage
3	82	web
2	2170	acceptance tests
2	382	activity-based
2	1651	affected workspace detection
2	955	aggregate
2	847	aggregated queries
2	1667	alert rules
2	2003	alerting
2	2026	alerts
2	532	atomic
2	291	audit
2	1907	authorization
2	1741	background processing
2	1831	background workers
2	2055	backward-compatible migrations
2	957	behavior
2	1755	behaviours
2	1479	browser
2	2326	buddy
2	1691	build-time secrets
2	1425	carbon-aware
2	348	chartered vessels
2	1937	clearing account
2	1889	clearing accounts
2	1765	code reviews
2	2354	commit messages
2	804	consistency
2	710	consumer
2	1763	controllers
2	378	cost-based
2	1663	dashboards
2	243	data freshness
2	284	data tracking
2	1665	database queries
2	1245	de facto
2	528	definitive
2	2129	distributed
2	2368	downtime
2	472	dry
2	153	e-fuels
2	921	emissions factors
2	1415	enqueuer
2	638	error handling
2	1933	event replay
2	1935	event stream
2	595	export
2	1689	fine-grained
2	850	fossil baseline vs ECO actual
2	891	gigajoules
2	72	greenhouse gases
2	1825	infrastructure
2	1715	instrumentation
2	72	integrated logistics provider
2	1401	interval
2	2346	merge
2	697	message broker
2	162	methanol-ready
2	1479	namespaces
2	1247	native
2	2511	nd Edition
2	1624	nix-darwin
2	1087	offset
2	1538	patches
2	1121	pattern matching
2	591	polling
2	1628	project
2	1711	pull request
2	858	queries
2	1569	query
2	2433	rail
2	1825	rate limiting
2	955	read models
2	472	reefer
2	1573	replay
2	1890	reports
2	1626	reproducibility
2	1612	rolling updates
2	835	run ID
2	1649	runner
2	1691	runtime
2	1689	runtime secrets
2	249	scalability
2	356	scope
2	303	scopes
2	1608	self-hosted
2	239	self-service
2	2421	shore power
2	1249	stdio
2	1333	stored procedures
2	634	streaming
2	1441	supervisor
2	1329	system of record
2	2421	terminals
2	96	test-driven development
2	1121	timestamp
2	1649	token
2	375	tonne-km
2	1321	trace
2	1538	transactions
2	858	unit testing
2	341	upstream
2	1761	use case
2	2139	user stories
2	728	vessel
2	1803	vessel data
2	1612	web server
2	943	withdrawal
2	2051	worker pod
2	1647	workflows
2	1713	wrapper
2	1927	zero-downtime deployments
1	1586	abstraction layer
1	1797	access modifiers
1	599	accompanying report
1	845	account managers
1	547	achieve their own decarbonisation goals
1	368	activity data
1	272	ad hoc
1	1719	ad-hoc
1	1247	address space
1	1697	advisory locks
1	1717	affected components
1	1779	affected workspace apps
1	1691	age
1	1661	agent
1	866	aggregated
1	2117	agile
1	2437	air cargo
1	2437	air freight
1	1672	alert
1	2003	alerts-as-code
1	188	allowance
1	124	analytics
1	2519	and Deployment Automation
1	1711	antipatterns
1	1148	apples to apples
1	1590	application
1	1717	applications
1	1815	architectural insulation
