# PROPER / product names (keep, add Greek gloss on first use) — 597 distinct
# count	first_line	term
83	74	Maersk
43	94	Scope
42	112	Energy Bank
21	116	Dremio
21	780	Elixir
20	636	Shiptech
19	80	Emissions Workbench
17	92	Kafka
17	110	STAR Connect
16	90	Bunker Optimization
16	90	Ocean Emissions
15	116	Terraform
14	98	ECOv2
13	98	ECOv1
13	116	Nix
12	311	GHG Protocol Scope
11	1339	Azure
11	90	ET Platform
11	92	Oban
10	90	ECO Product Delivery
10	1536	Ecto
10	76	EU ETS Maritime
10	311	Standard
9	118	Clean Architecture
9	98	ECO Delivery
9	124	SBTi
9	199	Well-to-Wake
8	233	Excel
8	94	GHG Protocol
7	92	Commanded
7	493	ECO products
7	82	Extreme Programming
7	1610	Kubernetes
7	90	Net Zero
7	311	World Resources Institute
6	1059	Azure Blob Storage
6	441	ECO Delivery Ocean
6	114	Erlang Ports
6	289	GIA audit
6	1215	MBC solver
6	467	Smart Freight Centre
6	303	Tank-to-Wake
5	116	Apache Kafka
5	114	C++ solver
5	957	Command
5	941	ECO product
5	1437	Erlang
5	951	Event Sourcing
5	311	GHG Protocol Corporate Standard
5	337	Guidance
5	673	IMO number
5	426	ISCC System Document ISCC-203
5	1653	Maersk Design System
5	597	Oban workers
4	266	Account Managers
4	2513	Beck
4	213	Carbon Disclosure Project
4	579	Continuous Delivery
4	265	Contract Management
4	607	Customer Baseline Emissions
4	231	Emissions Reporting
4	1705	Events
4	510	Geneva
4	321	GLEC Framework
4	1663	Phoenix
4	1439	Phoenix Framework
4	461	SBTi Corporate Manual
4	2115	Scrum
4	1253	Server
4	1649	Vault
4	513	Version
3	311	Accounting and Reporting Standard
3	957	Aggregate
3	1601	Azure Kubernetes Service
3	1441	BEAM processes
3	1204	Bunker on Water Workbench
3	953	Command Query Responsibility Segregation
3	1705	Commands
3	263	Commercial Sustainability
3	1647	Continuous Integration
3	311	Corporate Value Chain
3	261	ECO Delivery Ocean Products
3	164	ECO Products
3	642	Ecto schema
3	543	Energy Markets
3	2233	Farley
3	577	Forty-Foot Equivalent
3	1667	Hedwig
3	2233	Humble
3	2491	International Maritime Organization
3	453	International Sustainability and Carbon Certification
3	514	London
3	1188	MARPOL Annex VI
3	1935	Projections
3	1663	Prometheus
3	891	Proof of Sustainability
3	2348	PRs
3	264	Regional Sales
3	459	Science Based Targets initiative
3	1540	SQL queries
3	1614	Stargate
3	148	Very Low Sulfur Fuel Oil
3	2471	Washington
3	311	World Business Council for Sustainable Development
2	505	A Corporate Accounting and Reporting Standard
2	264	Ad hoc
2	1479	Admin
2	1935	Aggregates
2	1614	Akamai
2	1620	AKS cluster
2	513	Amsterdam
2	2515	Andres
2	1614	API gateway Maersk
2	1687	API keys
2	2511	Armstrong
2	1606	Azure Active Directory
2	416	Book-and-Claim
2	511	Brussels
2	1196	Bunker Optimization Planning System
2	2147	By Example
2	508	Cambridge University Press
2	2061	CI pipeline
2	508	Climate Change
2	512	Cologne
2	76	Corporate Sustainability Reporting Directive
2	1129	Cost of Abatement
2	1882	Director
2	509	Doha Amendment to the Kyoto Protocol
2	1787	Domain-Driven Design
2	1479	Eco Delivery
2	1717	Elixir monorepo
2	1479	Emissions Data Inventory
2	80	Energy Transition
2	818	EU ETS surcharge
2	511	European Committee for Standardization
2	2517	Evans
2	957	Event
2	1931	Event sourcing
2	2094	Extreme Programming Explained
2	1757	Gateways
2	337	GHGP Scope
2	513	Global Logistics Emissions Council Framework for Logistics Emissions Accounting and Reporting
2	315	Global Warming Potential
2	1663	Grafana
2	1661	Grafana Loki
